old	new	tag	kind
AWS/AWS Shared Responsibility Model.md	01 Concepts/Shared Responsibility Model.md	Concept	Concept
AWS/AWS Architecture Design Principles.md	01 Concepts/Architecture Design Principles.md	Concept	Concept
AWS/AWS Migration Strategies.md	01 Concepts/Migration Strategies.md	Concept	Concept
AWS/AWS Cloud Adoption Framework (CAF).md	01 Concepts/CAF.md	Concept	Concept
AWS/AWS Well-Architected Framework.md	01 Concepts/Well-Architected Framework.md	Concept	Concept
AWS/AWS rePost.md	01 Concepts/rePost.md	Concept	Service
AWS/AWS Customer Carbon Footprint Tool (CCFT).md	01 Concepts/CCFT.md	Concept	Service
Cloud/Infrastructure as a Service (IaaS).md	01 Concepts/IaaS.md	Concept	Concept
Cloud/Platform as a Service (PaaS).md	01 Concepts/PaaS.md	Concept	Concept
Cloud/Software as a Service (SaaS).md	01 Concepts/SaaS.md	Concept	Concept
Cloud/Infrastructure as Code (IaC).md	01 Concepts/IaC.md	Concept	Concept
EC2/Amazon EC2.md	02 Compute/EC2.md	Compute	Service
AWS/AWS Lambda.md	02 Compute/Lambda.md	Compute	Service
AWS/AWS Elastic Beanstalk.md	02 Compute/Elastic Beanstalk.md	Compute	Service
AWS/AWS Fargate.md	02 Compute/Fargate.md	Compute	Service
AWS/AWS Auto Scaling.md	02 Compute/Auto Scaling.md	Compute	Service
AWS/AWS Outposts.md	02 Compute/Outposts.md	Compute	Service
Amazon/Amazon Lightsail.md	02 Compute/Lightsail.md	Compute	Service
S3/Amazon S3.md	03 Storage/S3.md	Storage	Service
S3/S3 Access Control.md	03 Storage/S3 Access Control.md	Storage	Service
S3/S3 Encryption.md	03 Storage/S3 Encryption.md	Storage	Service
S3/S3 Event Notifications.md	03 Storage/S3 Event Notifications.md	Storage	Service
S3/S3 Glacier.md	03 Storage/S3 Glacier.md	Storage	Service
S3/S3 Intelligent-Tiering.md	03 Storage/S3 Intelligent-Tiering.md	Storage	Service
S3/S3 Lifecycle.md	03 Storage/S3 Lifecycle.md	Storage	Service
S3/S3 One Zone-IA.md	03 Storage/S3 One Zone-IA.md	Storage	Service
S3/S3 Replication.md	03 Storage/S3 Replication.md	Storage	Service
